job_title,company,location,description,salary_min,salary_max,created_date,contract_time,contract_type,salary_avg,python,sql,aws,azure,docker,kubernetes,java,react,power bi,tableau,spark
"stagiaire lean - outils numériques, power bi et ia",GE Vernova,"Brossard, Champlain","job description summary job description à propos de nous : ge vernova est une entreprise mondiale spécialisée dans les technologies de l’énergie, engagée à accélérer la transition énergétique tout en soutenant la performance opérationnelle de ses activités industrielles. notre équipe s’appuie sur les principes lean afin d’améliorer en continu la sécurité, la qualité, la livraison et la productivité. dans ce rôle, vous contribuerez à des initiatives concrètes d’amélioration des processus en tira…",,,2026-05-16T16:33:54Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
ai engineer,2K,"Montréal, Québec","as an ai engineer at cloud chamber you will join our talented development team to further push the development of the ai systems and ai archetypes for bioshock 4. we have high ambitions for tying ai and storytelling together in our project. it will be your responsibility to support several ai systems and bring our ai archetypes to life. in this role, you’ll help push the state of the art, and experiment with unproven ideas. we are attempting new and ambitious things with ai in this game. you ar…",,,2026-05-16T16:33:50Z,,,,False,False,False,False,False,False,False,False,False,False,False
plm solution architect,Maya HTT,"Montréal, Québec","maya htt is a world leading software developer and engineering solutions provider focused on cae, cad, cam and plm. a long-time partner of siemens digital industries software, maya htt collaborates in providing software, ai, and engineering services to help clients and partners worldwide boost performance, improve quality, drive down costs, and harness the value of their data. maya htt has a growing services organisation that engages with customers worldwide from its montreal headquarters to de…",,,2026-05-16T16:33:18Z,,permanent,,False,False,False,False,False,False,False,False,False,False,False
engineering student - devops - fall 2026,MDA Space Canada,"Baie-d'Urfé, Montréal","building the space between proven and possible, mda space (tsx:mda) is a trusted mission partner to the global space industry. a robotics, satellite systems and geointelligence pioneer with a 55-year story of world firsts and more than 450 missions, mda space is a global leader in communications satellites, earth and space observation, and space exploration and infrastructure. the mda space team of more than 3,800 space experts in canada, the us and the uk has the knowledge and know-how to turn…",,,2026-05-16T16:32:39Z,full_time,contract,,False,False,False,False,False,False,False,False,False,False,False
software engineer – ground systems / operations,MDA Space Canada,"Saint-Bruno, La Vallée-du-Richelieu","building the space between proven and possible, mda space (tsx:mda) is a trusted mission partner to the global space industry. a robotics, satellite systems and geointelligence pioneer with a 55-year story of world firsts and more than 450 missions, mda space is a global leader in communications satellites, earth and space observation, and space exploration and infrastructure. the mda space team of more than 3,000 space experts in canada, the us and the uk has the knowledge and know-how to turn…",,,2026-05-16T16:32:35Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
senior data engineering specialist (hybrid),Morgan Stanley,"Montréal, Québec","we're seeking someone to join our team as a senior data engineering specialist in the enterprise architecture & modernization fleet to build and evolve data platforms, pipelines, and analytics foundations that power firmwide architecture and modernization metrics. this position sits at the intersection of data engineering, analytics engineering, and decision-support analytics, with responsibility for multiple production-grade metrics products used across technology. while the role requires stro…",,,2026-05-16T16:32:27Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
senior operational risk manager,emergiTEL,"Montréal, Québec","emergitel is hiring a senior operational risk manager (svp / junior director) for our client in the investment banking (corporate & investment banking) industry. this is a permanent role. compensation: $128,000 – $160,000/year base salary  target bonus (20–25%, based on experience) location: montreal, qc (hybrid) job description (english) overview to support the expansion of the bank’s activities in the americas and increased regulatory expectations linked to its transition to a class 4 bank in…",128000.0,160000.0,2026-05-16T16:31:06Z,full_time,permanent,144000.0,False,False,False,False,False,False,False,False,False,False,False
fall 2026 co-op: wise salesforce developer (4 months),CGI,"Montréal, Québec","position description: cgi is looking for enthusiastic and talented students for our salesforce developer internship for fall 2026. this position requires students with coding and analytical profiles who will be part of the salesforce team and work with cutting-edge technologies to create applications and solutions within the salesforce ecosystem. to learn more about salesforce, please visit https://www.salesforce.com/platform/ at cgi we are committed to investing in the next generation of women…",37440.0,66560.0,2026-05-16T16:29:55Z,full_time,contract,52000.0,False,False,False,False,False,False,False,False,False,False,False
propriétaire principal de produit,Banque Nationale,"Montréal, Québec","une carrière en tant que propriétaire principal de produit (leader produit) dans l’équipe de gestion de patrimoine à la banque nationale, c’est agir à titre de leader stratégique pour piloter l’évolution des capacités de conseil et de gestion de portefeuille au sein d’un agile release train (art). cet emploi te permet d’avoir un impact concret sur les expériences numériques offertes aux conseillers et aux équipes du siège social, grâce à ton expertise en leadership produit, en transformation nu…",,,2026-05-16T15:39:05Z,full_time,,,False,False,False,False,False,False,False,False,False,False,False
stratège en expérience numérique ux/ui,Tink Profitabilité Numérique,"Montréal, Québec","job description job description ce que nous recherchons le ou la stratège en expérience numérique ux/ui joue un rôle clé dans la conception et la livraison d'expériences numériques de haute qualité, centrées sur l'utilisateur, sur les plateformes web et mobiles pour les différentes bannières de notre client. ce rôle pilote la stratégie et l'exécution ux/ui de bout en bout pour les initiatives de campagne et les demandes d'affaires plus larges, en traduisant les objectifs d'affaires en expérienc…",65000.0,85000.0,2026-05-16T05:43:21Z,full_time,contract,75000.0,False,False,False,False,False,False,False,False,False,False,False
gestionnaire de projet erp,Ensiti,"Montréal, Québec","job description job description description de l'entreprise notre client, une entreprise bien établie et en pleine expansion, se spécialise dans le design et l'implémentation de solutions erp pour des entreprises à l'international. composée d’une équipe dynamique et collaborative, l'entreprise recherche un(e) gestionnaire de projet erp pour coordonner la livraison et l'implémentation de ses solutions erp pour plusieurs entreprises manufacturiers et/ou de distributions en amérique du nord et en …",,,2026-05-16T05:43:20Z,,,,False,False,False,False,False,False,False,False,False,False,False
senior software developer - php,Targeted Talent,"Montréal, Québec","job description job description if you want to work on some of the world’s biggestwebsites and have your work seen by millions every day, this might be the job for you.as a senior member of a growing team, you will contribute in to all stages of the web development life cycle. what you'll be doing: develop, implement, and maintain object-oriented backend applications with php, mysql perform code reviews write well designed, testable, efficient code highlighting areas to improve with both the pr…",,,2026-05-16T05:42:52Z,,,,False,True,False,False,False,False,False,False,False,False,False
senior c# full-stack developer [4914],Alteo,"Montréal, Québec","job description job description alteo is looking for a senior c# full-stack developer for a permanent position. company located in vancouver.  100% remote  you will work on diverse projects, leveraging your expertise in both front-end and back-end technologies. you will collaborate closely with designers, product managers, and other developers to deliver robust and scalable applications. responsibilities: collaborate in the design, development, and maintenance of high-quality applications, incl…",,,2026-05-16T05:42:19Z,,permanent,,False,False,False,False,False,False,False,False,False,False,False
ai development team lead,Maya HTT,"Montréal, Québec","job description job description maya htt is a world leading developer of digital industries software solutions. the world’s top tier engineering and manufacturing organizations rely on maya htt’s experience and expertise to achieve the full potential of their software investment. maya htt is at the forefront of innovation technology. our team delivers extensive engineering and cae simulation expertise along with cutting-edge digitalization solutions, such as ai, machine learning, iiot, operatio…",,,2026-05-16T05:41:58Z,,permanent,,False,False,False,False,False,False,False,False,False,False,False
consultant en implmentation / implementation consultant,Explorance,"Montréal, Québec","job description job description salary: (english will follow) rejoignez une entreprise base montral qui aide les organisations du monde entier crer un parcours personnalis, enrichissant et panouissant pour leurs employs. explorance propose des solutions innovantes d'analyse de la rtroaction, car nous croyons que chaque exprience compte. propos du poste: nous recherchons un consultant en implmentation polyvalent capable de naviguer l'intersection de la stratgie d'entreprise et de l'excution tech…",,,2026-05-16T05:41:37Z,,,,False,False,False,False,False,False,False,False,False,False,False
"expert(e) marketing digital, senior",Index,"Montréal, Québec","job description job description l’agence index est une compagnie de marketing œuvrant dans l’intelligence artificielle, spécialisée en solutions et services de marketing web utilisant les plus récentes technologies de machine learning. en joignant index, vous rejoindrez une équipe d’experts passionnés et dédiés à aider les clients à atteindre leurs objectifs d'affaires. nous sommes une compagnie à échelle humaine où les résultats, l’innovation, la transparence, la proactivité et le respect sont…",60000.0,110000.0,2026-05-16T05:41:18Z,,,85000.0,False,False,False,False,False,False,False,False,False,False,False
développeur logiciel senior - plateforme cloud/ senior software engineer - cloud platform,Tait,"Montréal, Québec","job description job description objectif du poste en tant que développeur logiciel sénior – plateforme cloud , vous jouerez un rôle de premier plan dans la création et l'amélioration du logiciel qui alimente notre vision : créer des moments qui touchent les gens . vous conceverez et mettrez en œuvre des fonctionnalités complexes, façonnerez des normes de codage et guiderez les décisions techniques au sein de votre équipe. en mentorant des ingénieurs moins expérimentés, en contribuant aux discus…",,,2026-05-16T05:41:03Z,,,,False,False,False,False,False,False,False,False,False,False,False
"java kafka developer ( full-time )montreal, qc-dk","Central Business Solutions, Inc","Montréal, Québec","job description job description experience in years: 7 mandatory required skills: experience with kafka experience with react and ui tools good hands-on experience on java development azure exposure, a strong understanding of relational database design and sql select (including related syntax/features) java/j2ee, spring boot, web services (soap/rest), mysql, websphere, java message services, sql server technical professional, with proven abilities in the areas of java development and implementa…",,,2026-05-16T05:40:58Z,full_time,,,False,True,False,True,False,False,True,True,False,False,False
architecte de données et analytique (spécialisation microsoft fabric),LIDD Consultants Inc.,"Montréal, Québec","job description job description à propos de la lidd lidd (lidd.com) est une société de conseil en gestion de la chaîne d'approvisionnement de premier plan. nous concevons des centres de distribution complexes et des systèmes logistiques pour aider les entreprises à transporter leurs marchandises plus efficacement. nos clients sont des fabricants, des distributeurs et des détaillants, y compris de nombreuses marques de produits alimentaires, de boissons et de biens de consommation. depuis nos bu…",,,2026-05-16T05:37:21Z,,,,False,False,False,False,False,False,False,False,False,False,False
plm solution architect,Maya HTT,"Montréal, Québec","job description job description maya htt is a world leading software developer and engineering solutions provider focused on cae, cad, cam and plm. a long-time partner of siemens digital industries software, maya htt collaborates in providing software, ai, and engineering services to help clients and partners worldwide boost performance, improve quality, drive down costs, and harness the value of their data. maya htt has a growing services organisation that engages with customers worldwide from…",,,2026-05-16T05:37:15Z,,permanent,,False,False,False,False,False,False,False,False,False,False,False
senior bi analyst,Targeted Talent,"Montréal, Québec",job description job description we are looking for an experienced senior bi analyst for our client. this is a permanent position that is remote to start with potential later relocation to calgary or winnipeg . our client is a global enterprise company with a product that you've likely used. this is a really exciting opportunity to work for a company whose product is used by millions of users daily! you have: 3 - 5  years’ experience as a bi analyst strong experience utilizing sql to work with c…,,,2026-05-16T05:37:11Z,,permanent,,False,True,False,False,False,False,False,False,False,False,False
directeur(trice) de services erp / crm (bilingue fr/en) - 100% remote,Ensiti,"Montréal, Québec","job description job description description du poste directeur(trice) de services erp / crm (bilingue fr/en) – 100% remote type de poste : temps plein mode de travail : 100% télétravail langues requises : français & anglais (bilingue) à propos du rôle nous recherchons un(e) directeur(trice) de services erp/crm expérimenté(e) pour diriger la livraison de projets, la relation client et la performance des équipes conseil/implantation. vous serez responsable de la qualité des services, de la satisf…",,,2026-05-16T05:36:47Z,,,,False,False,False,False,False,False,False,False,False,False,False
support engineer - devops products,Targeted Talent,"Montréal, Québec","job description job description support engineer – devops products our client is seeking a support engineer to join their team. if you have excellent troubleshooting skills and enjoy working with development testing technologies, are detail oriented and self-motivated, they want you on their team! our client is a leading provider of development and operational management solutions. they provide a wide variety of solutions such as testing, quality and security and devops tools. job description: …",,,2026-05-16T05:36:42Z,,,,False,False,False,False,False,False,False,False,False,False,False
